,Year,Electricity,Short tons,Y3,X1,Workers,Heat content of coal,Heat content of oil,Head content of gas,F1,F2,Phase I
3,85,8505038000,47579.87,25909.18,343569045,430,8.30E+13,60330837000,1.02E+12,25028.16,2.685116,0
8,85,7052240000,74147.13,23087.63,323831190,511,7.10E+13,1.82E+11,0,38996.44,16.061577,0
470,85,3512995000,13584.68,16187.56,167279114,114,3.61E+13,56354949000,10637100000,7772.21,4.813561,0
602,85,2599547000,13880.34,7878.81,221304215,120,2.59E+13,2.82E+11,0,7249.1,10.82828,0
641,85,4424840000,99670.58,19510.88,256246985,221,4.51E+13,73651200000,4.73E+11,52473.57,7.620728,0
708,85,4869227000,62101.2,22580.14,180224048,309,5.12E+13,68888400000,0,32658.85,3.512679,0
709,85,11243293000,97124,45296.83,297707598,469,1.03E+14,50206800000,0,51057,3.840132,0
728,85,6697031000,126444.62,22005.12,286073927,454,6.73E+13,88153800000,0,66522.03,4.495039,0
856,85,2990250000,19432.06,12517.68,185343067,151,2.98E+13,33976954200,0,10239.3,1.480981,0
861,85,3815905000,137059.1,32399.49,220434247,302,4.11E+13,46962535200,0,72142.92,2.828004,0
862,85,461680200,11533.93,2438.26,87672558,104,5.14E+12,20232009000,0,6073.49,0.839471,0
863,85,841671100,20253.06,4414.87,66862194,93,8.85E+12,18938656800,0,10654.04,0.763561,0
864,85,1361606400,31799.51,4816.93,132142948,147,1.41E+13,1.29E+11,0,16723.56,14.126626,0
876,85,4916216000,169540.06,44618.21,265682138,341,5.56E+13,0,85069200000,89290.32,0,0
879,85,6156632000,35435.25,30829.15,562193049,431,6.85E+13,0,88600000000,20302.8,0,0
887,85,6250211000,105605.24,21032.51,364533642,359,6.52E+13,28888780200,0,55569.3,1.600055,0
889,85,10712766800,264745.81,66912.47,346395933,264,1.07E+14,98196000000,0,139445.84,4.971334,0
983,85,9776515000,260099.81,66327.25,342076996,392,9.59E+13,13708800000,0,137001.62,1.071665,0
988,85,3493243000,64674.99,21149.5,328853406,328,3.49E+13,2.19E+11,0,33976.41,19.89129,0
991,85,699555000,15188.83,2660.16,111402061,96,8.05E+12,1.24E+11,0,7974.48,9.778942,0
994,85,6713205000,83640.98,20704.12,353857601,280,6.93E+13,1.41E+11,0,69912.06,11.118523,0
1004,85,241560000,7683.85,1582.18,65376392,71,3.11E+12,29345400000,0,4045.4,2.277288,0
1008,85,2229338000,60911.75,10989.46,143671209,161,2.32E+13,93214800000,0,32023.85,7.233738,0
1012,85,2123220110,60819.98,11519.71,99939195,87,2.23E+13,5808600000,15926400000,32014,0.297685,0
1047,85,1123422080,5974.85,7938.22,94298163,52,1.24E+13,48804000000,0,3345.95,6.176957,0
1250,85,1386226000,4237.02,5781.75,114421452,137,1.65E+13,0,4.56E+11,4662.43,0,0
1355,85,3166277000,54106.96,11282.09,128425614,132,3.42E+13,55802880000,0,28455.58,2.857773,0
1356,85,6493437000,91540.15,23615.73,392609657,228,6.97E+13,2.75E+11,0,48158.46,28.16097,0
1357,85,1040650000,21074.46,5813.4,72319847,103,1.23E+13,11625600000,0,11170.68,1.190739,0
1364,85,6191186000,47789.36,25168.12,333422298,472,6.32E+13,1.84E+11,1.70E+11,92248.15,9.31753,0
1570,85,407195000,3268.97,1464.38,58724433,65,4.49E+12,34939800000,0,1723.22,2.634509,0
1606,85,1037372000,9783.67,4189.01,37967677,69,1.06E+13,15023299200,0,5139.45,0.928776,0
1695,85,1189344000,8279.12,3946.3,150550516,196,1.24E+13,49623000000,0,4357.96,7.464443,0
1745,85,3593934000,21868.6,10870.04,357948510,327,3.71E+13,2.88E+11,0,11529.5,20.870673,0
1943,85,361328300,4248.18,1892.23,43902006,38,4.43E+12,5254200000,0,2819.88,0.535832,0
2080,85,2030401360,88197.15,8450.04,104068580,157,2.19E+13,58230522000,0,48868,4.599228,0
2103,85,12388384000,262230.63,41499.74,535381815,504,1.24E+14,3.42E+11,0,137963.56,44.280595,0
