"Group.1" "Electricity" "Short.Tons.SO2" "Short.Tons.NOx" "Capital.Stock" "Employees" "Heat.Content.of.Coal" "Heat.Content.of.Oil" "Heat.Content.of.Gas"
"1" 3 8793009545.45455 57918.3827272727 26861.2245454545 366856809.589818 418.636363636364 84867200236363.6 42433120800 591259590909.091
"2" 8 7562197818.18182 92570.8354545454 24279.0163636364 343685722.537091 488.545454545455 74690399363636.4 141809699945.455 0
"3" 470 3542827181.81818 11836.8136363636 16432.0590909091 179625576.795182 114.272727272727 36814144309090.9 45446293963.6364 36108736363.6364
"4" 602 5419402818.18182 28568.4445454545 16471.9763636364 338000329.022182 148.818181818182 53894931272727.3 301790053090.909 0
"5" 641 4526784818.18182 96955.2654545455 19840.5054545455 273509004.356091 239.545454545455 47455969072727.3 47172117109.0909 748672727272.727
"6" 708 3616449272.72727 47303.6309090909 15903.8872727273 191719380.462818 278.454545454545 37961817581818.2 75754826127.2727 0
"7" 709 9254878454.54545 89571.9145454546 40325.3454545455 304770414.485545 431.272727272727 90634909563636.4 59357072727.2727 0
"8" 728 4879302727.27273 80824.9272727273 15719.2363636364 290678042.691091 414.090909090909 50656331490909.1 101012097327.273 0
"9" 856 3302794272.72727 24428.16 13184.88 188303849.203636 158.636363636364 32962728890909.1 49262703381.8182 0
"10" 861 3506578181.81818 104971.216363636 29496.29 224555353.104909 286.636363636364 37357365545454.5 55147230218.1818 0
"11" 862 412578771.818182 11051.0427272727 2188.80545454545 90233904.2672182 101.545454545455 4601248309090.91 28740472854.5455 0
"12" 863 520112236.363636 12012.9990909091 2018.97 70079563.1270364 89.9090909090909 5587309727272.73 35996844927.2727 0
"13" 864 1118292163.63636 26515.74 3951.16090909091 137886467.774727 146.545454545455 11662439709090.9 229474119000 0
"14" 876 3790142727.27273 130137.148181818 34230.2445454545 274369258.942818 299.181818181818 43096738181818.2 0 9.5758e+10
"15" 879 4148578545.45455 19135.7281818182 22386.9963636364 558794952.963727 363.727272727273 48781399818181.8 0 173029845454.545
"16" 887 6389264545.45455 88535.4518181818 21079.8190909091 377040743.813091 345.454545454545 66087802545454.5 54438534818.1818 77600136363.6364
"17" 889 9264270249.09091 236761.450909091 59282.4254545455 354544383.221455 264.090909090909 94153063072727.3 94133454545.4545 0
"18" 983 9550572272.72727 241952.354545455 64733.4909090909 349236130.287455 390.454545454545 93847822381818.2 19421358600 0
"19" 988 3945872454.54545 58859.8527272727 23297.81 338918083.495182 311.909090909091 38479885109090.9 164589900872.727 0
"20" 991 637338363.636364 10986.5 2356.99545454545 119515094.382273 99.1818181818182 7287602600000 83627500854.5455 0
"21" 994 9317509000 103363.836363636 27093.2254545455 538289298.842364 324.363636363636 96506180290909.1 128766978709.091 0
"22" 1004 161666328.545455 4690.64090909091 1106.99636363636 67652738.7949273 66.6363636363636 2170258436363.64 37662545454.5455 0
"23" 1008 2209629245.45455 46316.2572727273 10230.3154545455 151576183.528 151.454545454545 23525838327272.7 184977158672.727 0
"24" 1012 1971947469.09091 44813.95 9142.52909090909 108400921.915182 86.4545454545455 21149869036363.6 6614580000 18517963636.3636
"25" 1047 1007702540.72727 5783.23 6477.70636363636 94998470.6892182 51.1818181818182 11864483218181.8 42389454545.4545 0
"26" 1250 1783068181.81818 4573.28090909091 6667.96909090909 120362066.050182 134.909090909091 20177691654545.5 0 374984845454.545
"27" 1355 3134595363.63636 51039.6018181818 10545.24 136715014.710636 149.181818181818 33250586909090.9 62108989090.9091 0
"28" 1356 9277525181.81818 93203.1290909091 30176.4909090909 402653241.027 237.363636363636 95228673636363.6 166358181818.182 0
"29" 1357 892073454.545455 19411.3309090909 4779.55636363636 73293508.6986909 105.272727272727 10354416254545.5 12968072727.2727 0
"30" 1364 7147458363.63636 127942.432727273 25941.5627272727 349192077.751182 418.545454545455 72956181381818.2 206910302836.364 111566590909.091
"31" 1570 428502272.727273 3423.90545454545 1377.46545454545 62471256.3131182 66.3636363636364 4595565145454.55 30417545454.5455 0
"32" 1606 1041606618.09091 10041.4545454545 3976.57090909091 38846201.4828 68.0909090909091 10197002454545.5 9034698654.54545 0
"33" 1695 1924120000 11096.7709090909 6473.24272727273 148493509.877909 166.272727272727 19216963054545.5 39592254545.4545 22245454545.4545
"34" 1745 3333220090.90909 19468.1763636364 10968.2545454545 361881737.043273 326.272727272727 34688909127272.7 153915844090.909 0
"35" 1943 292305027.272727 1605.59363636364 1640.22090909091 44712722.1435182 42.2727272727273 3450892818181.82 12825654545.4545 0
"36" 2080 2107509705.45455 24302.8027272727 8868.47636363636 112471711.182636 157.363636363636 21847595072727.3 42293870945.4545 0
"37" 2103 11497748272.7273 202498.418181818 37231.6 556454974.996091 466.454545454545 115961862636364 354446400000 0
"38" 2107 3651615727.27273 72015.2390909091 27879.1636363636 210393963.668091 248.545454545455 38466939690909.1 43050381818.1818 0
"39" 2526 744189213.181818 11679.4045454545 2793.76363636364 86631596.0474455 75.2727272727273 8157044781818.18 39429772963.6364 0
"40" 2527 908941738.090909 14571.9854545455 3435.52454545455 88534923.5356636 83.1818181818182 9690641818181.82 48489954545.4545 0
"41" 2535 2020964416.36364 25050.2590909091 5755.49363636364 94299783.6685091 89.5454545454545 19080718218181.8 17992143654.5455 0
"42" 2549 4099695272.72727 49658.5890909091 18144.1590909091 384348051.775364 291.454545454545 42878683618181.8 0 0
"43" 2554 3549519272.72727 53407.9045454545 9726.86545454545 218960897.275909 204.727272727273 35269520218181.8 33991018854.5455 0
"44" 2642 1255370363.63636 20509.9672727273 3768.73818181818 93984666.4507364 132.727272727273 13223238727272.7 50794036363.6364 0
"45" 2706 2276775727.27273 17998.7536363636 9416.13454545455 74104979.1679818 83.1818181818182 22444585327272.7 42246016909.0909 0
"46" 2718 2471234363.63636 17966.9854545455 7018.92454545455 218904961.573 152.454545454545 24666458672727.3 174909560509.091 0
"47" 2721 2057975636.36364 15019.7309090909 5931.29636363636 169548397.515273 139.818181818182 20491293836363.6 72642096927.2727 0
"48" 2727 9800581636.36364 65122.8318181818 25503.9527272727 303220265.561364 183.181818181818 8.9059237e+13 183266084400 0
"49" 2790 383698680.909091 2818.61909090909 810.191818181818 38223842.7643818 50.7272727272727 5072040072727.27 0 629727272.727273
"50" 2850 14944552272.7273 158133.332727273 67111.0418181818 495069309.836364 542.363636363636 147083184981818 101871911781.818 0
"51" 2864 2383382636.36364 66488.3681818182 12607.6736363636 215138171.635364 249 26997586109090.9 16324788327.2727 0
"52" 2872 7398823636.36364 249542.999090909 42533.8790909091 382558245.674455 369.272727272727 71829241727272.7 232538605854.545 0
"53" 2876 7779998363.63636 210155.984545455 48816.5590909091 295154548.087818 336.636363636364 76332755854545.5 26108523763.6364 0
"54" 3098 2013075618.18182 4560.87818181818 10148.1763636364 225153355.487 216.818181818182 23179268600000 107337506945.455 0
"55" 3130 1198137090.90909 15887.5663636364 4489.12181818182 110472614.856364 93.9090909090909 13446099381818.2 136764523636.364 0
"56" 3131 3660123454.54545 55462.2863636364 13035.6827272727 205071375.893364 131.545454545455 37389345800000 296298958200 0
"57" 3138 1615927090.90909 21787.2854545455 8329.23272727273 141224104.148545 154.727272727273 18446518254545.5 47103765545.4545 0
"58" 3140 8637171272.72727 118590.993636364 23657.2127272727 312748044.157273 209.818181818182 85096340072727.3 398095778563.636 0
"59" 3149 9562058454.54545 120636.929090909 25900.8018181818 304343760.180273 189.090909090909 90702906618181.8 429391825036.364 0
"60" 3178 2119299818.18182 30595.9736363636 9341.17454545455 96691534.5282273 84.4545454545455 21303870309090.9 24007579145.4545 0
"61" 3297 3761558727.27273 33696.97 15966.1554545455 134873827.701455 92.2727272727273 37123753309090.9 255845815527.273 0
"62" 3497 6577062000 57885.8681818182 18938.8945454545 189920599.419 220.545454545455 71665104654545.5 0 1072697354545.45
"63" 3644 1114094818.18182 4907.26181818182 3917.13 58464671.3026 97.5454545454545 12447319545454.5 13774090909.0909 0
"64" 3775 3907940909.09091 20808.5945454545 15947.8427272727 169099477.209182 173.636363636364 36634264145454.5 36600520472.7273 0
"65" 3776 1239967454.54545 8755.59636363636 4871.45636363636 135762704.703364 130 13279329327272.7 122941729145.455 0
"66" 3788 2175671727.27273 13562.8772727273 6713.62636363636 192002227.740727 197.181818181818 23040719781818.2 182662812436.364 0
"67" 3796 1138101545.45455 7965.34181818182 5100.75818181818 95224392.4345364 128.818181818182 11648722454545.5 40358181818.1818 0
"68" 3936 1235184000 7273.56181818182 5489.52363636364 140514693.046273 138.545454545455 12191940709090.9 27927587672.7273 0
"69" 3945 347439272.727273 3074.12090909091 1967.63454545455 80219634.3025818 79.7272727272727 4392188563636.36 16850781818.1818 0
"70" 3946 871249545.454545 9705.74272727273 5788.35454545455 86462945.0160091 72.0909090909091 9100763309090.91 17496818181.8182 4096472727.27273
"71" 3947 4683216090.90909 145909.722727273 30899.8781818182 181683346.625636 236.090909090909 45181918145454.5 21086256927.2727 0
"72" 3948 6931206909.09091 70737.69 28980.91 341892132.728091 252.454545454545 67818868381818.2 327415729200 0
"73" 4054 1044165727.27273 9820.40545454545 6949.84909090909 52574694.6121909 62.6363636363636 10756203690909.1 4953607145.45455 0
"74" 4072 1400584727.27273 20828.5845454545 7780.34545454545 126089394.633909 154 15680391836363.6 33353345454.5455 193851972727.273
"75" 4158 5452491818.18182 23387.5127272727 32760.5490909091 224822102.020636 257.363636363636 60795799745454.5 78175397618.1818 0
"76" 4162 4352735636.36364 20040.4281818182 17508.4418181818 186955128.976091 215 45285444545454.5 31935654163.6364 110312627272.727
"77" 6002 10332404818.1818 44209.2081818182 31156.2663636364 574150894.840636 403.909090909091 98131894109090.9 214489694236.364 1474135463636.36
"78" 6004 7425602090.90909 118786.445454545 26214.3445454545 418983487.975636 247.636363636364 74163985509090.9 278172490909.091 2.6515e+10
"79" 6016 2003055000 8562.49090909091 7425.96181818182 161322241.429273 127.545454545455 20397367781818.2 31180157400 0
"80" 6017 4476532727.27273 19956.4681818182 10680.7381818182 349438165.851909 238.636363636364 46333878127272.7 142850079654.545 0
"81" 6095 5433649181.81818 20279.01 21545.3818181818 226560806.364818 217.909090909091 55740449890909.1 57772227927.2727 0
"82" 6139 7745192909.09091 30392.1681818182 43774.6381818182 218220327.109636 131.181818181818 81138001836363.6 156301090909.091 0
"83" 6146 15405981181.8182 60632.01 45392.8318181818 454282203.683091 575.181818181818 170661505763636 329002036363.636 0
"84" 6147 11488271272.7273 66289.0454545455 40765.2236363636 334326137.839727 427.272727272727 127677381090909 420420763636.364 0
"85" 6155 5693588545.45455 50384.2727272727 19811.5072727273 251053993.363909 237.545454545455 56408155672727.3 65490981818.1818 0
"86" 6178 4128710454.54545 14097.4563636364 12901.9581818182 132767166.747545 107.181818181818 40026020127272.7 32569255090.9091 0
"87" 6193 7185973909.09091 24813.2390909091 28058.8472727273 198326560.211727 148.636363636364 71367619836363.6 0 216982327272.727
"88" 6248 3077004363.63636 13104.1463636364 19826.7981818182 202757482.294091 117.363636363636 33121260327272.7 96350894181.8182 62278481818.1818
"89" 6264 6906929272.72727 33644.1163636364 20108.5745454545 318316827.838818 241.454545454545 64635342818181.8 215353543363.636 0
"90" 8042 12210763272.7273 78120.5381818182 49047.3790909091 280325515.475182 178.545454545455 111127046054545 131497587709.091 0
"91" 8102 13290730181.8182 336058.883636364 63560.4436363636 495091524.790818 384.090909090909 130569595181818 206212129200 0
"92" 8226 3332904363.63636 40140.9418181818 9079.29 178373473.646727 153.818181818182 32933619618181.8 15903694800 188497818181.818
